token,symbol,decimals
0xe62174753ea3275f65f4cf980dc002fea7887ea8,🦄,18
0x3106a0a076bedae847652f42ef07fd58589e001f,$ADS,18
0xee06a81a695750e71a662b51066f2c74cf4478a0,$DG,18
0x9077f9e1efe0ea72867ac89046b2a6264cbcaef5,$HRIMP,18
0xa6368d7df5731eae98ccc7e4e1bf458bb0855e9d,$KIRBYRELOADED,18
0x4af698b479d0098229dc715655c667ceb6cd8433,$MAID,18
0xf5274576dc1c7bd4d5116bc8f9adf901b92abc6c,$wick,18
0x035df12e0f3ac6671126525f1015e47d79dfeddf,0XMR,18
0xc86817249634ac209bc73fca1712bbd75e37407d,1-UP,18
0x35872fea6a4843facbcdbce99e3b69596a3680b8,1337,4
0xa4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016,1MIL,18
0xd5cd84d6f044abe314ee7e414d37cae8773ef9d3,1ONE,18
0x2c9c19ce3b15ae77c6d80aec3c1194cfd6f7f3fa,2CRZ,18
0x4f56221252d117f35e2f6ab937a3f77cad38934d,3CS,18
0xe552dfeae83f01ada1a5e071c7f590a63e3c24b8,420,18
0xb95f156b77373b470df75a798e5bad526e9ad70d,518,18
0xfeea0bdd3d07eb6fe305938878c0cadbfa169042,8PAY,18
0x8c6bf16c273636523c29db7db04396143770f6a0,AAA,18
0xbfd815347d024f449886c171f78fa5b8e6790811,AAPX,18
0x9ff4f50efd40c915f7d1476bf36acb8908e0c56d,ABC123,18
0x8d39041025e845d9c1828fc2fd9d8b497616665c,ABM,18
0xf9e149a2935bd69e80b50018134132794f8b43a2,ABQ,18
0xa11bd36801d8fa4448f0ac4ea7a62e3634ce8c7c,ABR,18
0x2feb105fbb4c922597b125c56822b3db7351b55d,ABST,4
0x9a0aba393aac4dfbff4333b06c407458002c6183,AC,18
0xbdb4a359a506b0997a257da767308436c7340245,ACE,18
0xed04915c23f00a313a544955524eb7dbd823143d,ACH,8
0xed363bafb0f50d99c6599427741d0380628b27f2,ADAM,18
0x635d081fd8f6670135d8a3640e2cf78220787d56,ADD,18
0x94d863173ee77439e4292284ff13fad54b3ba182,ADEL,18
0xade00c28244d5ce17d72e40330b1c318cd12b7c3,ADX,18
0xd932ba8adf16009e5571648e070f9eebb2f259c0,AES,18
0x2d80f5f5328fdcb6eceb7cacf5dd8aedaec94e20,AGA,4
0xb453f1f2ee776daf2586501361c457db70e1ca0f,AGAR,8
0xb3ed706b564bba9cab64042f4e1b391be7bebce5,AGF,18
0x5b7533812759b45c2b44c19e320ba2cd2681b542,AGIX,8
0x32353a6c91143bfd6c7d363b546e62a9a2489a20,AGLD,18
0xa704fce7b309ec09df16e2f5ab8caf6fe8a4baa9,AGRI,18
0xdb2f2bcce3efa95eda95a233af45f3e0d4f00e2a,AGS,8
0x37e8789bb9996cac9156cd5f5fd32599e6b91289,AID,18
0x3a810ff7211b40c4fa76205a14efe161615d0385,AIN,18
0x626e8036deb333b408be468f951bdb42433cbf18,AIOZ,18
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITA,18
0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,ALBT,18
0x0000a1c00009a619684135b824ba02f7fbf3a572,ALCH,18
0xdbdb4d16eda451d0503b854cf79d55697f90c8df,ALCX,18
0xb339fca531367067e98d7c4f9303ffeadff7b881,ALD,18
0xb26c4b3ca601136daf98593feaeff9e0ca702a8d,ALD,18
0x27702a26126e0b3702af63ee09ac4d1a084ef628,ALEPH,18
0xac51066d7bec65dc4589368da368b212745d63e8,ALICE,6
